drug,state,date,flag_type,deviation,actual,forecast,alert,true_anomaly
Topiramate,FL,2022-05-29,SPIKE,178.7,9077,3257,"**Supply Chain Alert**

**What is happening:** Significant spike in Topiramate demand in FL on 2022-05-29.

**Severity level:** High

**Likely cause:** Possible new prescription guidelines or a regional health event.

**Recommended action:** Immediately increase Topiramate supply to FL. Investigate the cause to adjust future forecasts and prevent stockouts.",True
Carbamazepine,OH,2022-10-02,DROP,-90.6,83,881,"**Supply Chain Alert**

**What is happening:** Significant drop in Carbamazepine demand in OH on 2022-10-02.

**Severity level:** High

**Likely cause:** Potential stock-out, change in prescription patterns, or data entry error.

**Recommended action:** Verify inventory levels, check for prescription changes, and confirm data accuracy. Adjust forecast models if necessary.",True
Carbamazepine,OH,2022-10-09,DROP,-89.8,92,899,"**Supply Chain Alert**

**What is happening:** Significant drop in Carbamazepine demand in OH on 2022-10-09.

**Severity:** High

**Likely cause:** Potential data entry error or temporary supply issue.

**Recommended action:** Verify data accuracy. If confirmed, assess local supply chain disruptions and communicate with distributors to ensure stock availability. Monitor demand closely for the next few days.",True
Lacosamide,CA,2022-03-06,SPIKE,119.2,2343,1069,"**Supply Chain Alert**

**What is happening:** Significant spike in Lacosamide demand in CA on 2022-03-06.

**Severity:** High

**Likely cause:** Possible new prescription guidelines or increased patient intake.

**Recommended action:** Immediately investigate cause. Increase inventory buffer for CA. Notify sales and medical teams for further assessment. Monitor demand closely for the next two weeks.",True
Lacosamide,CA,2022-03-13,SPIKE,127.0,2477,1091,"**Supply Chain Alert**

**Drug:** Lacosamide  
**State:** CA  
**Date:** 2022-03-13  
**Anomaly Type:** SPIKE  
**Actual Demand:** 2,477 claims  
**Forecast:** 1,091 claims  
**Deviation:** +127.0%

**Severity:** High  
**Likely Cause:** Possible new prescription guidelines or increased patient demand.  
**Recommended Action:** Investigate cause immediately. Increase inventory and monitor demand closely. Notify sales and medical teams for further assessment.",True
Lacosamide,CA,2022-03-20,SPIKE,111.0,2455,1163,"**Supply Chain Alert**

**What is happening:** Significant spike in Lacosamide demand in CA on 2022-03-20.

**Severity:** High

**Likely cause:** Possible new prescription guidelines or increased diagnosis rates.

**Recommended action:** Immediately increase Lacosamide supply to CA. Investigate cause to adjust future forecasts. Monitor inventory levels closely.",True
Lacosamide,CA,2022-03-27,SPIKE,121.6,2690,1214,"**Supply Chain Alert**

**What is happening:** Significant spike in Lacosamide demand in CA on 2022-03-27.

**Severity:** High

**Likely cause:** Possible new prescription guidelines or increased patient intake.

**Recommended action:** Immediately increase Lacosamide supply to CA. Investigate cause to adjust future forecasts. Monitor inventory levels closely to prevent stockouts.",True
Zonisamide,CA,2022-09-04,DROP,-85.4,44,302,"**Supply Chain Alert**

**What is happening:** Significant drop in Zonisamide demand in CA on 2022-09-04.

**Severity Level:** High

**Likely Cause:** Potential regulatory change or market disruption.

**Recommended Action:** Investigate cause immediately. Adjust inventory levels to prevent overstock. Communicate with local distributors for insights.",True
Zonisamide,CA,2022-09-11,DROP,-83.7,49,301,"**Supply Chain Alert**

**Drug:** Zonisamide  
**State:** CA  
**Date:** 2022-09-11  
**Anomaly Type:** DROP  
**Actual Demand:** 49 claims  
**Forecast:** 301 claims  
**Deviation:** -83.7%

**Severity:** High  
**Likely Cause:** Potential regulatory changes or market competition.  
**Recommended Action:** Investigate cause immediately. Adjust inventory levels and communicate with local distributors to prevent stockouts. Monitor situation closely.",True
Zonisamide,CA,2022-09-18,DROP,-84.6,47,305,"**Supply Chain Alert**

**Drug:** Zonisamide  
**State:** CA  
**Date:** 2022-09-18  
**Anomaly Type:** DROP  
**Actual Demand:** 47 claims  
**Forecast:** 305 claims  
**Deviation:** -84.6%

**Severity:** High  
**Likely Cause:** Potential regulatory change or market disruption.  
**Recommended Action:** Investigate cause immediately. Adjust inventory levels and communicate with local distributors to prevent stockouts. Monitor situation closely.",True
Zonisamide,CA,2022-09-25,DROP,-87.1,40,310,"**Supply Chain Alert**

**What is happening:** Significant drop in Zonisamide demand in CA on 2022-09-25.

**Severity Level:** High

**Likely Cause:** Potential regulatory change or market disruption.

**Recommended Action:** Investigate cause immediately. Adjust inventory levels and communicate with local distributors to prevent stockouts or overstocking. Monitor situation closely for further deviations.",True
Valproic Acid,FL,2022-07-03,DROP,-70.8,19,65,"**Supply Chain Alert**

**What is happening:** Significant drop in Valproic Acid demand in FL on 2022-07-03.

**Severity:** High

**Likely cause:** Potential stock-out, change in prescription patterns, or temporary market shift.

**Recommended action:** Investigate immediate cause. Verify inventory levels and adjust supply if necessary. Communicate with local distributors and pharmacies for insights.",True
Valproic Acid,FL,2022-07-10,DROP,-70.6,19,65,"**Supply Chain Alert**

**Drug:** Valproic Acid  
**State:** FL  
**Date:** 2022-07-10  
**Anomaly Type:** DROP  
**Actual Demand:** 19 claims  
**Forecast:** 65 claims  
**Deviation:** -70.6%

**Severity:** High  
**Likely Cause:** Potential regulatory changes or increased competition.  
**Recommended Action:** Investigate local market conditions. Adjust inventory levels and monitor demand closely.",True
Valproic Acid,FL,2022-07-17,DROP,-72.4,17,62,"**Supply Chain Alert**

**What is happening:** Significant drop in Valproic Acid demand in FL on 2022-07-17.

**Severity:** High

**Likely cause:** Potential regulatory changes or adverse event reports impacting prescriptions.

**Recommended action:** Investigate local market conditions and regulatory updates. Adjust inventory levels and communicate with distributors to prevent stockouts or overstocking. Monitor demand closely for the next two weeks.",True
Valproic Acid,FL,2022-07-24,DROP,-70.7,17,58,"**Supply Chain Alert**

**What is happening:** Significant drop in Valproic Acid demand in FL on 2022-07-24.

**Severity:** High

**Likely cause:** Possible temporary supply issue or sudden change in prescription patterns.

**Recommended action:** Investigate local supply chain disruptions. Contact FL distributors for status updates. Review recent prescription data for any policy changes or competitor activity. Adjust inventory levels accordingly to prevent stockouts or overstocking.",True
Valproic Acid,FL,2022-07-31,DROP,-68.3,18,57,"**Supply Chain Alert**

**What is happening:** Significant drop in Valproic Acid demand in FL on 2022-07-31.

**Severity:** High

**Likely cause:** Possible regulatory changes or alternative drug preference.

**Recommended action:** Investigate cause immediately. Adjust inventory levels and communicate with local distributors to prevent stockouts or overstocking. Monitor demand trends for the next two weeks.",True
